ID,VIA,CONC,PORT,TMDA,AMP,MAX
A01_01,A1,Brisa,Via gratuita,2.004082551,-1.061159315,-1.657841827
A01_02,A1,Brisa,Via gratuita,1.762565818,-1.051718183,-1.673746079
A01_03,A1,Brisa,Via gratuita,1.541457088,-1.028275302,-1.670429148
A01_04,A1,Brisa,Via com portagem,1.028160393,-0.883343852,-1.524402293
A01_05,A1,Brisa,Via com portagem,1.051329982,-0.875716038,-1.481775601
A01_06,A1,Brisa,Via com portagem,0.68823155,-0.654436728,-0.916075835
A01_07,A1,Brisa,Via com portagem,0.660039532,-0.641056988,-0.849105565
A01_08,A1,Brisa,Via com portagem,0.97545081,-0.499394857,-0.662309858
A01_09,A1,Brisa,Via com portagem,0.460904462,-0.192277729,-0.210235886
A01_10,A1,Brisa,Via com portagem,0.135831143,0.019657154,-0.06606263
A01_11,A1,Brisa,Via com portagem,0.156062519,0.001310613,-0.06627963
A01_12,A1,Brisa,Via com portagem,0.258529114,0.450417097,0.390564482
A01_13,A1,Brisa,Via com portagem,0.182147936,0.564543191,0.432220262
A01_14,A1,Brisa,Via com portagem,-0.17114967,0.695930516,0.470981506
A01_15,A1,Brisa,Via com portagem,-0.138573056,1.005305923,0.722707844
A01_16,A1,Brisa,Via com portagem,-0.153696856,1.033991284,0.711424297
A01_17,A1,Brisa,Via com portagem,-0.155849664,0.975276456,0.689179973
A01_18,A1,Brisa,Via com portagem,-0.14888104,0.958646652,0.68066523
A01_19,A1,Brisa,Via com portagem,-0.065686832,0.892258948,0.699462664
A01_20,A1,Brisa,Via com portagem,-0.11477163,0.935739285,0.723494937
A01_21,A1,Brisa,Via com portagem,-0.093663621,0.475618064,0.376111495
A01_22,A1,Brisa,Via com portagem,-0.11468302,0.485112815,0.403894634
A01_23,A1,Brisa,Via com portagem,-0.186197363,0.544137063,0.423622211
A01_24,A1,Brisa,Via com portagem,0.337381807,0.30991074,0.409393406
A01_25,A1,Brisa,Via com portagem,0.26299421,0.37226007,0.42901814
A01_26,A1,Brisa,Via com portagem,0.426185176,0.236707479,0.364701478
A01_27,A1,Brisa,Via com portagem,0.456245169,-0.067573969,0.04356977
A01_28,A1,Brisa,Via com portagem,1.227806085,-0.575136064,-0.287259508
A01_29,A1,Brisa,Via gratuita,0.324942132,-0.902209459,-0.940459122
A01_30,A1,Brisa,Via gratuita,1.134623189,-1.059711848,-1.736388019
A01_31,A1,IP,Via gratuita,1.207963525,-1.079452688,-1.596702094
A01_32,A1,IP,Via gratuita,2.487750305,-1.030873626,-0.878032327
A01_33,A1,IP,Via gratuita,2.43497002,-1.128968812,-1.30199632
A01_34,A1,IP,Via gratuita,2.43497002,-1.128968812,-1.30199632
A02_01,A2,Lusoponte,Via com portagem,3.369688959,-0.771548576,-0.517670508
A02_02,A2,Brisa,Via gratuita,1.603524198,-1.013864494,-1.008882968
A02_03,A2,Brisa,Via com portagem,0.136863707,-0.664922872,-0.574594269
A02_04,A2,Brisa,Via com portagem,0.009441653,-0.436639374,-0.250968793
A02_05,A2,Brisa,Via com portagem,0.039810892,-0.429779222,-0.24742977
A02_06,A2,Brisa,Via com portagem,-0.171714691,0.882987071,0.498871508
A02_07,A2,Brisa,Via com portagem,-0.213686167,0.966010252,0.504050557
A02_08,A2,Brisa,Via com portagem,-0.324455931,2.321881793,0.958427313
A02_09,A2,Brisa,Via com portagem,-0.397139342,2.452089171,0.991668363
A02_10,A2,Brisa,Via com portagem,-0.530798591,2.847967252,1.022493514
A02_11,A2,Brisa,Via com portagem,-0.622124409,3.544315608,1.089896198
A02_12,A2,Brisa,Via com portagem,-0.625101731,3.607823354,1.094726528
A02_13,A2,Brisa,Via com portagem,-0.592047607,3.460992613,1.078738129
A02_14,A2,Brisa,Via com portagem,-0.582336573,3.38210379,1.076330418
A02_15,A2,Brisa,Via com portagem,-0.590605362,3.387408024,1.063310525
A03_01,A3,Brisa,Via gratuita,2.121893245,-0.941437228,-1.038600526
A03_02,A3,Brisa,Via gratuita,2.968454759,-1.0274758,-1.682061451
A03_03,A3,Brisa,Via gratuita,1.269526685,-0.99047669,-1.496876892
A03_04,A3,Brisa,Via com portagem,0.864512274,-0.676435799,-0.951973875
A03_05,A3,Brisa,Via com portagem,0.622961415,-0.545812164,-0.565859825
A03_06,A3,Brisa,Via com portagem,-0.14253682,-0.182525158,-0.134564691
A03_07,A3,Brisa,Via com portagem,-0.19447688,-0.11586197,-0.117424167
A03_08,A3,Brisa,Via com portagem,-0.626573625,0.953041914,0.76486392
A03_09,A3,Brisa,Via com portagem,-0.650630573,1.47882148,0.946601241
A03_10,A3,Brisa,Via com portagem,-0.621963578,1.349034962,0.943224518
A03_11,A3,Brisa,Via com portagem,-0.539212669,0.948289156,0.913673707
A03_12,A3,Brisa,Via com portagem,-0.70736947,1.340538294,0.717969339
A03_13,A3,Brisa,Via com portagem,-0.718387174,1.198841707,0.608881455
A03_14,A3,IP,Via gratuita,-0.467420419,0.310096374,0.765119253
A03_15,A3,IP,Via gratuita,-0.431325959,0.043243637,0.72267949
